,home_team,empate_home,gano_home,perdio_home,empate_away,perdio_away,gano_away,gano,perdio,empate,num_partidos,gano_perc,perdio_perc,empate_perc,tournament_name,index_tournament
699,Chiapas FC,3.0,6.0,1.0,3.0,4.0,2.0,8.0,5.0,6.0,19.0,0.42105263157894735,0.2631578947368421,0.3157894736842105,apertura 2007,40
700,Chivas,2.0,9.0,0.0,3.0,5.0,2.0,11.0,0.0,5.0,16.0,0.6875,0.0,0.3125,apertura 2007,40
701,Club Queretaro,6.0,0.0,2.0,3.0,3.0,3.0,0.0,5.0,9.0,14.0,0.0,0.35714285714285715,0.6428571428571429,apertura 2007,40
702,Cruz Azul,2.0,6.0,3.0,2.0,5.0,3.0,9.0,8.0,4.0,21.0,0.42857142857142855,0.38095238095238093,0.19047619047619047,apertura 2007,40
703,Estudiantes,0.0,4.0,4.0,2.0,6.0,1.0,5.0,10.0,0.0,15.0,0.3333333333333333,0.6666666666666666,0.0,apertura 2007,40
704,Monterrey,3.0,3.0,3.0,2.0,6.0,0.0,0.0,9.0,5.0,14.0,0.0,0.6428571428571429,0.35714285714285715,apertura 2007,40
705,Morelia,2.0,6.0,3.0,2.0,7.0,1.0,7.0,10.0,4.0,21.0,0.3333333333333333,0.47619047619047616,0.19047619047619047,apertura 2007,40
706,Necaxa,4.0,3.0,2.0,1.0,5.0,2.0,5.0,7.0,5.0,17.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,apertura 2007,40
707,Pachuca,3.0,2.0,5.0,0.0,4.0,5.0,7.0,9.0,0.0,16.0,0.4375,0.5625,0.0,apertura 2007,40
708,Puebla,3.0,3.0,2.0,2.0,6.0,1.0,4.0,8.0,5.0,17.0,0.23529411764705882,0.47058823529411764,0.29411764705882354,apertura 2007,40
709,Pumas,4.0,6.0,1.0,4.0,6.0,2.0,8.0,7.0,8.0,23.0,0.34782608695652173,0.30434782608695654,0.34782608695652173,apertura 2007,40
710,Santos,1.0,9.0,0.0,4.0,2.0,5.0,14.0,0.0,5.0,19.0,0.7368421052631579,0.0,0.2631578947368421,apertura 2007,40
711,Tigres,2.0,4.0,2.0,2.0,7.0,0.0,0.0,9.0,4.0,13.0,0.0,0.6923076923076923,0.3076923076923077,apertura 2007,40
712,Toluca,2.0,7.0,1.0,3.0,3.0,3.0,10.0,4.0,5.0,19.0,0.5263157894736842,0.21052631578947367,0.2631578947368421,apertura 2007,40
713,Veracruz,0.0,5.0,4.0,3.0,5.0,0.0,0.0,9.0,0.0,9.0,0.0,1.0,0.0,apertura 2007,40
714,America,1.0,2.0,6.0,1.0,6.0,1.0,3.0,12.0,2.0,17.0,0.17647058823529413,0.7058823529411765,0.11764705882352941,clausura 2008,41
715,Atlante,5.0,1.0,3.0,3.0,3.0,2.0,3.0,6.0,8.0,17.0,0.17647058823529413,0.35294117647058826,0.47058823529411764,clausura 2008,41
716,Atlas,2.0,6.0,2.0,5.0,4.0,0.0,0.0,6.0,7.0,13.0,0.0,0.46153846153846156,0.5384615384615384,clausura 2008,41
717,Chiapas FC,4.0,4.0,3.0,5.0,2.0,5.0,9.0,5.0,9.0,23.0,0.391304347826087,0.21739130434782608,0.391304347826087,clausura 2008,41
718,Chivas,2.0,7.0,0.0,5.0,3.0,2.0,9.0,0.0,7.0,16.0,0.5625,0.0,0.4375,clausura 2008,41
719,Club Queretaro,2.0,5.0,3.0,3.0,3.0,3.0,8.0,6.0,5.0,19.0,0.42105263157894735,0.3157894736842105,0.2631578947368421,clausura 2008,41
720,Cruz Azul,4.0,6.0,1.0,2.0,5.0,5.0,11.0,6.0,6.0,23.0,0.4782608695652174,0.2608695652173913,0.2608695652173913,clausura 2008,41
721,Estudiantes,4.0,2.0,3.0,1.0,5.0,2.0,4.0,8.0,5.0,17.0,0.23529411764705882,0.47058823529411764,0.29411764705882354,clausura 2008,41
722,Monterrey,4.0,5.0,1.0,5.0,4.0,2.0,7.0,5.0,9.0,21.0,0.3333333333333333,0.23809523809523808,0.42857142857142855,clausura 2008,41
723,Morelia,2.0,3.0,3.0,1.0,6.0,2.0,5.0,9.0,3.0,17.0,0.29411764705882354,0.5294117647058824,0.17647058823529413,clausura 2008,41
724,Necaxa,4.0,3.0,3.0,8.0,1.0,2.0,5.0,4.0,12.0,21.0,0.23809523809523808,0.19047619047619047,0.5714285714285714,clausura 2008,41
725,Pachuca,2.0,4.0,3.0,2.0,5.0,3.0,7.0,8.0,4.0,19.0,0.3684210526315789,0.42105263157894735,0.21052631578947367,clausura 2008,41
726,Puebla,5.0,2.0,2.0,1.0,4.0,3.0,5.0,6.0,6.0,17.0,0.29411764705882354,0.35294117647058826,0.35294117647058826,clausura 2008,41
727,Pumas,3.0,3.0,3.0,2.0,4.0,2.0,5.0,7.0,5.0,17.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,clausura 2008,41
728,Santos,5.0,6.0,1.0,6.0,1.0,4.0,10.0,2.0,11.0,23.0,0.43478260869565216,0.08695652173913043,0.4782608695652174,clausura 2008,41
729,Tigres,2.0,4.0,3.0,2.0,5.0,1.0,5.0,8.0,4.0,17.0,0.29411764705882354,0.47058823529411764,0.23529411764705882,clausura 2008,41
730,Toluca,5.0,3.0,1.0,3.0,3.0,4.0,7.0,4.0,8.0,19.0,0.3684210526315789,0.21052631578947367,0.42105263157894735,clausura 2008,41
